data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-11-03,chat,Metas financeiras,Cliente perguntou sobre reserva de emergência,sim
2025-11-20,telefone,Problema no app,Erro ao exibir saldo,sim
2025-11-30,chat,Fundo Imobiliário,Cliente pediu explicação sobre o funcionamento do Fundo Imobiliário,sim
2025-12-18,chat,Metas financeiras,Cliente perguntou sobre sua reserva de emergência,sim
2025-12-27,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
